M=MODULE	module_enabled	module_name
S=SUBJECT	subject_enabled	subject_name	subject_description
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key

M	1	Compiler Design
S	1	CD Subject Test - 3	Compiler Design – 3 (Subject Test)
Q	1	‘Divide by zero’ is a		S	1		0	0	0	0
A	1	Runtime error	Runtime errors occur when a program with no syntax errors asks the computer to do something that the computer is unable to reliably do.  Common examples are:\r\n•\tTrying to divide by a variable that contains a value of zero\r\n•\tTrying to open a file that doesn't exist\r\nThere is no way for the compiler to know about these kinds of errors when the program is compiled.	1		
A	1	Lexical error		0		
A	1	Syntax error		0		
A	1	None of these		0		
Q	1	A program can contain errors at different level like,\r\n(1)\tLexical such as misspelling an identifier, keyword or operator.\r\n(2)\tSyntactic such as arithmetic expression with unbalanced parenthesis\r\n(3)\tAdding a array variable and function variable\r\nIn which one of the following phases of compiler, the program will be free from all the above errors?		S	1		0	0	0	0
A	1	Semantic analysis phase	After all the lexical errors, syntax errors and semantic errors are removed. The code is given for intermediate code generator which do not have any errors.\r\nThe later stages also (which are CO & TCG) are targeted for converting the code into assembly level and no more error recovery occurs.	1		
A	1	Syntax analysis phase		0		
A	1	Lexical analysis phase		0		
A	1	None of these		0		
Q	1	A s-attributed SDD for the grammar defined below for generating a decimal number from a binary number with a “decimal” point is given as:\r\n\t[object]CD Subject Test - 3/Q31.PNG[/object:198:73:]		S	2		0	0	0	0
A	1	[object]CD Subject Test - 3/Q31_opt_B.PNG[/object:501:119:]	(*) The logic used in converting the integral part of the binary number to decimal is explained using an example\r\n[object]CD Subject Test - 3/Q31_exp.PNG[/object:327:182:]\r\n\r\n         (*)The logic used behind in converting the decimal part is explained using an  example:\r\n Consider we need to convert   .101   from binary to decimal \r\nSo in general we use the following rule :\r\n(1/2^1)*1+ (1/2^2)*0+(1/2^3)*1\r\nwhich gives us 0.625\r\nWe are using the above weighted code method for evaluation but in a different way.\r\nHere we take the highest power as common and get the following:\r\n(1/2^3)(4*1+ 2*0 + 1*1) = 5/(2^3) = 5/8 = 0.625\r\n\r\nUsing the above two rules we associate the following semantic actions:\r\n[object]CD Subject Test - 3/Q31_opt_B.PNG[/object:501:119:]	1		
A	1	[object]CD Subject Test - 3/Q31_opt_A.PNG[/object:401:180:]		0		
A	1	[object]CD Subject Test - 3/Q31_opt_C.PNG[/object:348:118:]		0		
A	1	None of these		0		
Q	1	Choose the false statements		S	1		0	0	0	0
A	1	There are LL(K) grammars that are not context free	LL(K) grammars has to be CFG. It can also be regular since all regular grammars can also be context free.\r\nAny ambiguous grammar cannot be LL(K) grammar since LL(K) grammars are top down parsers so having left recursion leads to infinite loop.	1		
A	1	LL(K) grammar has to be a CFG		0		
A	1	LL(K) grammar has to be a unambiguous		0		
A	1	LL(K) grammars cannot have recursive non-terminals		0		
Q	1	Consider the following CFG, where the words in bold are terminals:\r\nS →  S P | P\r\nP  → L a T | and another A T | A T | T T D\r\nD → duck\r\nA → funny | little | fuzzy\r\nL → here’s | there’s\r\nT → llama\r\nWhich one of the following option is false?		S	2		0	0	0	0
A	1	The grammar is left recursive but not LL(1)	Left recursion is of the form A → Aα | β\r\n        The given grammar is left recursive because of the production :\r\n\tS  → SP \r\n\tSince the given grammar is left recursive so it can not be LL(1) since \r\nLL(1) is a top down parser and presence of left recursion leads to infinite loop.	1		
A	1	The grammar is LL(1) but not left recursive		0		
A	1	The grammar is not left recursive but it is LL(1)		0		
A	1	The grammar is left recursive		0		
Q	1	Consider the following grammar\r\nE → E+T| T\r\nT → T*F| F\r\nF → id\r\nThere is a procedure mknode(l, d, r) where l is the left pointer, d is the data elements and r is the right pointer. There is an attribute nptr to denote the newly created node.  \r\nWhat are the semantic rules that must be associated with the grammar so that it creates a syntax tree for the input “a+b*c”		S	2		0	0	0	0
